article,year,pagerank,in_degree,out_degree,in_degree_cent,out_degree_cent,betweenness,eigenvector
1623 Malta plague outbreak,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1629–1631 Italian plague,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1655 Malta plague outbreak,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1675–1676 Malta plague epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1707–08 Iceland smallpox epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1770–1772 Russian plague,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1772–1773 Persian Plague,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1775–1782 North American smallpox epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1793 Philadelphia yellow fever epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1812–1819 Ottoman plague epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1813–1814 Malta plague epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1817–1824 cholera pandemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1826–1837 cholera pandemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1837 Great Plains smallpox epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1846–1860 cholera pandemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1847 North American typhus epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1853 Copenhagen cholera outbreak,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1853 Stockholm cholera outbreak,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1854 Broad Street cholera outbreak,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1856 Guam smallpox epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1862 Pacific Northwest smallpox epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1863–1875 cholera pandemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1870 Barcelona yellow fever epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1875–1876 Australia scarlet fever epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
